# SCARED1500 Overlap Statistics
# Seed: 42
# Num pairs: 1500
# Min overlap threshold: 40%

# Overlap stats: min=0.4002, max=1.0000, mean=0.7563, median=0.7924

# Per-pair overlap values:
# img1 img2 overlap
dataset_9_undistorted/keyframe_2_frame_000199.png dataset_9_undistorted/keyframe_2_frame_000422.png 0.9657
dataset_8_undistorted/keyframe_0_frame_000275.png dataset_8_undistorted/keyframe_0_frame_000406.png 0.5394
dataset_8_undistorted/keyframe_1_frame_000080.png dataset_8_undistorted/keyframe_1_frame_000267.png 0.6586
dataset_9_undistorted/keyframe_0_frame_000502.png dataset_9_undistorted/keyframe_0_frame_000837.png 0.8282
dataset_9_undistorted/keyframe_2_frame_000352.png dataset_9_undistorted/keyframe_2_frame_000574.png 1.0000
dataset_9_undistorted/keyframe_3_frame_000005.png dataset_9_undistorted/keyframe_3_frame_000029.png 0.7801
dataset_8_undistorted/keyframe_3_frame_000300.png dataset_8_undistorted/keyframe_3_frame_000773.png 0.8277
dataset_8_undistorted/keyframe_1_frame_000269.png dataset_8_undistorted/keyframe_1_frame_000280.png 0.9778
dataset_9_undistorted/keyframe_2_frame_000413.png dataset_9_undistorted/keyframe_2_frame_000427.png 0.7923
dataset_8_undistorted/keyframe_2_frame_000268.png dataset_8_undistorted/keyframe_2_frame_000511.png 0.9187
dataset_8_undistorted/keyframe_1_frame_000233.png dataset_8_undistorted/keyframe_1_frame_000597.png 0.4760
dataset_8_undistorted/keyframe_0_frame_000152.png dataset_8_undistorted/keyframe_0_frame_000880.png 0.5450
dataset_8_undistorted/keyframe_1_frame_000044.png dataset_8_undistorted/keyframe_1_frame_000574.png 0.4836
dataset_8_undistorted/keyframe_1_frame_000032.png dataset_8_undistorted/keyframe_1_frame_000602.png 0.5252
dataset_9_undistorted/keyframe_0_frame_000084.png dataset_9_undistorted/keyframe_0_frame_000121.png 0.8142
dataset_8_undistorted/keyframe_0_frame_000135.png dataset_8_undistorted/keyframe_0_frame_000199.png 0.9108
dataset_8_undistorted/keyframe_3_frame_000267.png dataset_8_undistorted/keyframe_3_frame_000511.png 0.9929
dataset_9_undistorted/keyframe_0_frame_000268.png dataset_9_undistorted/keyframe_0_frame_000683.png 0.5019
dataset_9_undistorted/keyframe_0_frame_000367.png dataset_9_undistorted/keyframe_0_frame_000650.png 0.4287
dataset_9_undistorted/keyframe_2_frame_000446.png dataset_9_undistorted/keyframe_2_frame_000591.png 0.9418
dataset_9_undistorted/keyframe_1_frame_000140.png dataset_9_undistorted/keyframe_1_frame_000143.png 0.9997
dataset_9_undistorted/keyframe_0_frame_000180.png dataset_9_undistorted/keyframe_0_frame_000188.png 0.9981
dataset_8_undistorted/keyframe_1_frame_000593.png dataset_8_undistorted/keyframe_1_frame_000598.png 0.9679
dataset_8_undistorted/keyframe_2_frame_000041.png dataset_8_undistorted/keyframe_2_frame_000495.png 0.8950
dataset_8_undistorted/keyframe_1_frame_000327.png dataset_8_undistorted/keyframe_1_frame_000412.png 0.6086
dataset_9_undistorted/keyframe_1_frame_000365.png dataset_9_undistorted/keyframe_1_frame_000379.png 0.7502
dataset_8_undistorted/keyframe_1_frame_000088.png dataset_8_undistorted/keyframe_1_frame_000465.png 0.4653
dataset_9_undistorted/keyframe_2_frame_000024.png dataset_9_undistorted/keyframe_2_frame_000644.png 0.4730
